G;A;L;V
männlich;45 bis unter 50 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;31
männlich;45 bis unter 50 Jahre;Angeborene Fehlbildungen des Nervensystems;1
männlich;45 bis unter 50 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;5
männlich;45 bis unter 50 Jahre;Symptome und abnorme klinische und Laborbefunde;868
männlich;45 bis unter 50 Jahre;Plötzlicher Kindstod;0
männlich;45 bis unter 50 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;846
männlich;45 bis unter 50 Jahre;Äußere Ursachen von Morbidität und Mortalität;991
männlich;45 bis unter 50 Jahre;Unfälle einschließlich Spätfolgen;450
männlich;45 bis unter 50 Jahre;Transportmittelunfälle;134
männlich;45 bis unter 50 Jahre;Stürze;59
männlich;45 bis unter 50 Jahre;Ertrinken und Untergehen;16
männlich;45 bis unter 50 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;15
männlich;45 bis unter 50 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);112
männlich;45 bis unter 50 Jahre;Vorsätzliche Selbstbeschädigung;451
männlich;45 bis unter 50 Jahre;Tätlicher Angriff;17
männlich;45 bis unter 50 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;68
männlich;50 bis unter 55 Jahre;Insgesamt;13671
männlich;50 bis unter 55 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;216
männlich;50 bis unter 55 Jahre;Tuberkulose einschließlich ihrer Folgezustände;10
männlich;50 bis unter 55 Jahre;Meningokokkeninfektion;0
männlich;50 bis unter 55 Jahre;Virushepatitis;26
männlich;50 bis unter 55 Jahre;HIV-Krankheit;30
männlich;50 bis unter 55 Jahre;Neubildungen;4032
männlich;50 bis unter 55 Jahre;Bösartige Neubildungen (BN);3979
männlich;50 bis unter 55 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;260
männlich;50 bis unter 55 Jahre;BN des Ösophagus;247
männlich;50 bis unter 55 Jahre;BN des Magens;231
männlich;50 bis unter 55 Jahre;BN des Dickdarms;232
männlich;50 bis unter 55 Jahre;BN des Rektums, des Anus und am Rektosigmoid;203
männlich;50 bis unter 55 Jahre;BN der Leber, der Gallenwege und des Pankreas;515
männlich;50 bis unter 55 Jahre;BN der Leber und der intrahepatischen Gallengänge;131
männlich;50 bis unter 55 Jahre;BN des Pankreas;344
männlich;50 bis unter 55 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;977
männlich;50 bis unter 55 Jahre;BN der Bronchien und der Lunge;922
männlich;50 bis unter 55 Jahre;Melanom und sonstige bösartige Neubild. der Haut;94
männlich;50 bis unter 55 Jahre;Bösartiges Melanom der Haut;88
männlich;50 bis unter 55 Jahre;BN der Brustdrüse;8
männlich;50 bis unter 55 Jahre;BN der Genital- und Harnorgane;343
männlich;50 bis unter 55 Jahre;BN der Cervix uteri;0
männlich;50 bis unter 55 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;50 bis unter 55 Jahre;BN des Ovars;0
männlich;50 bis unter 55 Jahre;BN der Prostata;93
männlich;50 bis unter 55 Jahre;BN der Niere, ausgenommen Nierenbecken;95
männlich;50 bis unter 55 Jahre;BN der Harnblase;58
männlich;50 bis unter 55 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;255
männlich;50 bis unter 55 Jahre;Leukämie;108
männlich;50 bis unter 55 Jahre;Gutartige Neubildungen;10
männlich;50 bis unter 55 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;48
männlich;50 bis unter 55 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;442
männlich;50 bis unter 55 Jahre;Diabetes mellitus;271
männlich;50 bis unter 55 Jahre;Psychische und Verhaltensstörungen;572
männlich;50 bis unter 55 Jahre;Psychische und Verhaltensstörungen durch Alkohol;429
männlich;50 bis unter 55 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;75
männlich;50 bis unter 55 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;365
männlich;50 bis unter 55 Jahre;Meningitis;4
männlich;50 bis unter 55 Jahre;Krankheiten des Kreislaufsystems;2917
männlich;50 bis unter 55 Jahre;Hypertonie (Hochdruckkrankheit);169
männlich;50 bis unter 55 Jahre;Ischämische Herzkrankheiten;1478
männlich;50 bis unter 55 Jahre;Akuter oder rezidivierender Myokardinfarkt;1005
männlich;50 bis unter 55 Jahre;Sonstige Formen der Herzkrankheit;456
männlich;50 bis unter 55 Jahre;Sonstige Krankheiten des Endokards;85
männlich;50 bis unter 55 Jahre;Zerebrovaskuläre Krankheiten;369
männlich;50 bis unter 55 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;26
männlich;50 bis unter 55 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;162
männlich;50 bis unter 55 Jahre;Krankheiten des Atmungssystems;500
männlich;50 bis unter 55 Jahre;Grippe;33
männlich;50 bis unter 55 Jahre;Pneumonie;109
männlich;50 bis unter 55 Jahre;Chronische Krankheiten der unteren Atemwege;270
männlich;50 bis unter 55 Jahre;Asthma;20
männlich;50 bis unter 55 Jahre;Krankheiten des Verdauungssystems;1347
männlich;50 bis unter 55 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;32
männlich;50 bis unter 55 Jahre;Krankheiten der Leber;1008
männlich;50 bis unter 55 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;978
männlich;50 bis unter 55 Jahre;Krankheiten der Haut und der Unterhaut;12
männlich;50 bis unter 55 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;58
männlich;50 bis unter 55 Jahre;Chronische Polyarthritis und Arthrose;7
männlich;50 bis unter 55 Jahre;Krankheiten des Urogenitalsystems;91
männlich;50 bis unter 55 Jahre;Krankheiten der Niere;70
männlich;50 bis unter 55 Jahre;Schwangerschaft, Geburt und Wochenbett;0
männlich;50 bis unter 55 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;6
männlich;50 bis unter 55 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;73
männlich;50 bis unter 55 Jahre;Angeborene Fehlbildungen des Nervensystems;4
männlich;50 bis unter 55 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;14
männlich;50 bis unter 55 Jahre;Symptome und abnorme klinische und Laborbefunde;1579
männlich;50 bis unter 55 Jahre;Plötzlicher Kindstod;0
männlich;50 bis unter 55 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;1537
männlich;50 bis unter 55 Jahre;Äußere Ursachen von Morbidität und Mortalität;1413
männlich;50 bis unter 55 Jahre;Unfälle einschließlich Spätfolgen;646
männlich;50 bis unter 55 Jahre;Transportmittelunfälle;203
männlich;50 bis unter 55 Jahre;Stürze;164
männlich;50 bis unter 55 Jahre;Ertrinken und Untergehen;17
männlich;50 bis unter 55 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;18
männlich;50 bis unter 55 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);82
männlich;50 bis unter 55 Jahre;Vorsätzliche Selbstbeschädigung;667
männlich;50 bis unter 55 Jahre;Tätlicher Angriff;8
männlich;50 bis unter 55 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;88
männlich;55 bis unter 60 Jahre;Insgesamt;23017
männlich;55 bis unter 60 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;330
männlich;55 bis unter 60 Jahre;Tuberkulose einschließlich ihrer Folgezustände;12
männlich;55 bis unter 60 Jahre;Meningokokkeninfektion;2
männlich;55 bis unter 60 Jahre;Virushepatitis;48
männlich;55 bis unter 60 Jahre;HIV-Krankheit;41
männlich;55 bis unter 60 Jahre;Neubildungen;7998
männlich;55 bis unter 60 Jahre;Bösartige Neubildungen (BN);7884
männlich;55 bis unter 60 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;584
männlich;55 bis unter 60 Jahre;BN des Ösophagus;433
männlich;55 bis unter 60 Jahre;BN des Magens;372
männlich;55 bis unter 60 Jahre;BN des Dickdarms;410
männlich;55 bis unter 60 Jahre;BN des Rektums, des Anus und am Rektosigmoid;347
männlich;55 bis unter 60 Jahre;BN der Leber, der Gallenwege und des Pankreas;1059
männlich;55 bis unter 60 Jahre;BN der Leber und der intrahepatischen Gallengänge;320
männlich;55 bis unter 60 Jahre;BN des Pankreas;675
männlich;55 bis unter 60 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;2334
männlich;55 bis unter 60 Jahre;BN der Bronchien und der Lunge;2205
männlich;55 bis unter 60 Jahre;Melanom und sonstige bösartige Neubild. der Haut;115
männlich;55 bis unter 60 Jahre;Bösartiges Melanom der Haut;104
männlich;55 bis unter 60 Jahre;BN der Brustdrüse;14
männlich;55 bis unter 60 Jahre;BN der Genital- und Harnorgane;728
männlich;55 bis unter 60 Jahre;BN der Cervix uteri;0
männlich;55 bis unter 60 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;55 bis unter 60 Jahre;BN des Ovars;0
männlich;55 bis unter 60 Jahre;BN der Prostata;244
männlich;55 bis unter 60 Jahre;BN der Niere, ausgenommen Nierenbecken;187
männlich;55 bis unter 60 Jahre;BN der Harnblase;118
männlich;55 bis unter 60 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;464
männlich;55 bis unter 60 Jahre;Leukämie;174
männlich;55 bis unter 60 Jahre;Gutartige Neubildungen;9
männlich;55 bis unter 60 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;63
männlich;55 bis unter 60 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;713
männlich;55 bis unter 60 Jahre;Diabetes mellitus;486
männlich;55 bis unter 60 Jahre;Psychische und Verhaltensstörungen;797
männlich;55 bis unter 60 Jahre;Psychische und Verhaltensstörungen durch Alkohol;636
männlich;55 bis unter 60 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;51
männlich;55 bis unter 60 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;624
männlich;55 bis unter 60 Jahre;Meningitis;7
männlich;55 bis unter 60 Jahre;Krankheiten des Kreislaufsystems;5200
männlich;55 bis unter 60 Jahre;Hypertonie (Hochdruckkrankheit);322
männlich;55 bis unter 60 Jahre;Ischämische Herzkrankheiten;2687
männlich;55 bis unter 60 Jahre;Akuter oder rezidivierender Myokardinfarkt;1704
männlich;55 bis unter 60 Jahre;Sonstige Formen der Herzkrankheit;799
männlich;55 bis unter 60 Jahre;Sonstige Krankheiten des Endokards;132
männlich;55 bis unter 60 Jahre;Zerebrovaskuläre Krankheiten;625
männlich;55 bis unter 60 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;56
männlich;55 bis unter 60 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;274
männlich;55 bis unter 60 Jahre;Krankheiten des Atmungssystems;1137
männlich;55 bis unter 60 Jahre;Grippe;40
männlich;55 bis unter 60 Jahre;Pneumonie;202
männlich;55 bis unter 60 Jahre;Chronische Krankheiten der unteren Atemwege;727
männlich;55 bis unter 60 Jahre;Asthma;33
männlich;55 bis unter 60 Jahre;Krankheiten des Verdauungssystems;1915
männlich;55 bis unter 60 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;69
männlich;55 bis unter 60 Jahre;Krankheiten der Leber;1367
männlich;55 bis unter 60 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;1321
männlich;55 bis unter 60 Jahre;Krankheiten der Haut und der Unterhaut;23
männlich;55 bis unter 60 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;75
männlich;55 bis unter 60 Jahre;Chronische Polyarthritis und Arthrose;15
männlich;55 bis unter 60 Jahre;Krankheiten des Urogenitalsystems;184
männlich;55 bis unter 60 Jahre;Krankheiten der Niere;127
männlich;55 bis unter 60 Jahre;Schwangerschaft, Geburt und Wochenbett;0
männlich;55 bis unter 60 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;6
männlich;55 bis unter 60 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;113
männlich;55 bis unter 60 Jahre;Angeborene Fehlbildungen des Nervensystems;7
männlich;55 bis unter 60 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;19
männlich;55 bis unter 60 Jahre;Symptome und abnorme klinische und Laborbefunde;2151
männlich;55 bis unter 60 Jahre;Plötzlicher Kindstod;0
männlich;55 bis unter 60 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;2094
männlich;55 bis unter 60 Jahre;Äußere Ursachen von Morbidität und Mortalität;1688
männlich;55 bis unter 60 Jahre;Unfälle einschließlich Spätfolgen;845
männlich;55 bis unter 60 Jahre;Transportmittelunfälle;234
männlich;55 bis unter 60 Jahre;Stürze;241
männlich;55 bis unter 60 Jahre;Ertrinken und Untergehen;18
männlich;55 bis unter 60 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;25
männlich;55 bis unter 60 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);80
männlich;55 bis unter 60 Jahre;Vorsätzliche Selbstbeschädigung;707
männlich;55 bis unter 60 Jahre;Tätlicher Angriff;20
männlich;55 bis unter 60 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;113
männlich;60 bis unter 65 Jahre;Insgesamt;31652
männlich;60 bis unter 65 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;442
männlich;60 bis unter 65 Jahre;Tuberkulose einschließlich ihrer Folgezustände;15
männlich;60 bis unter 65 Jahre;Meningokokkeninfektion;1
männlich;60 bis unter 65 Jahre;Virushepatitis;51
männlich;60 bis unter 65 Jahre;HIV-Krankheit;29
männlich;60 bis unter 65 Jahre;Neubildungen;11794
männlich;60 bis unter 65 Jahre;Bösartige Neubildungen (BN);11580
männlich;60 bis unter 65 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;648
männlich;60 bis unter 65 Jahre;BN des Ösophagus;618
männlich;60 bis unter 65 Jahre;BN des Magens;485
männlich;60 bis unter 65 Jahre;BN des Dickdarms;628
männlich;60 bis unter 65 Jahre;BN des Rektums, des Anus und am Rektosigmoid;460
männlich;60 bis unter 65 Jahre;BN der Leber, der Gallenwege und des Pankreas;1739
männlich;60 bis unter 65 Jahre;BN der Leber und der intrahepatischen Gallengänge;580
männlich;60 bis unter 65 Jahre;BN des Pankreas;1030
männlich;60 bis unter 65 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;3624
männlich;60 bis unter 65 Jahre;BN der Bronchien und der Lunge;3448
männlich;60 bis unter 65 Jahre;Melanom und sonstige bösartige Neubild. der Haut;165
männlich;60 bis unter 65 Jahre;Bösartiges Melanom der Haut;141
männlich;60 bis unter 65 Jahre;BN der Brustdrüse;11
männlich;60 bis unter 65 Jahre;BN der Genital- und Harnorgane;1262
männlich;60 bis unter 65 Jahre;BN der Cervix uteri;0
männlich;60 bis unter 65 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;60 bis unter 65 Jahre;BN des Ovars;0
männlich;60 bis unter 65 Jahre;BN der Prostata;542
männlich;60 bis unter 65 Jahre;BN der Niere, ausgenommen Nierenbecken;267
männlich;60 bis unter 65 Jahre;BN der Harnblase;208
männlich;60 bis unter 65 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;686
männlich;60 bis unter 65 Jahre;Leukämie;268
männlich;60 bis unter 65 Jahre;Gutartige Neubildungen;18
männlich;60 bis unter 65 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;81
männlich;60 bis unter 65 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;994
männlich;60 bis unter 65 Jahre;Diabetes mellitus;697
männlich;60 bis unter 65 Jahre;Psychische und Verhaltensstörungen;886
männlich;60 bis unter 65 Jahre;Psychische und Verhaltensstörungen durch Alkohol;680
männlich;60 bis unter 65 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;32
männlich;60 bis unter 65 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;831
männlich;60 bis unter 65 Jahre;Meningitis;6
männlich;60 bis unter 65 Jahre;Krankheiten des Kreislaufsystems;7631
männlich;60 bis unter 65 Jahre;Hypertonie (Hochdruckkrankheit);508
männlich;60 bis unter 65 Jahre;Ischämische Herzkrankheiten;3926
männlich;60 bis unter 65 Jahre;Akuter oder rezidivierender Myokardinfarkt;2249
männlich;60 bis unter 65 Jahre;Sonstige Formen der Herzkrankheit;1168
männlich;60 bis unter 65 Jahre;Sonstige Krankheiten des Endokards;200
männlich;60 bis unter 65 Jahre;Zerebrovaskuläre Krankheiten;983
männlich;60 bis unter 65 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;114
männlich;60 bis unter 65 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;417
männlich;60 bis unter 65 Jahre;Krankheiten des Atmungssystems;2032
männlich;60 bis unter 65 Jahre;Grippe;69
männlich;60 bis unter 65 Jahre;Pneumonie;299
männlich;60 bis unter 65 Jahre;Chronische Krankheiten der unteren Atemwege;1377
männlich;60 bis unter 65 Jahre;Asthma;42
männlich;60 bis unter 65 Jahre;Krankheiten des Verdauungssystems;2350
männlich;60 bis unter 65 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;68
männlich;60 bis unter 65 Jahre;Krankheiten der Leber;1593
männlich;60 bis unter 65 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;1520
männlich;60 bis unter 65 Jahre;Krankheiten der Haut und der Unterhaut;43
männlich;60 bis unter 65 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;118
männlich;60 bis unter 65 Jahre;Chronische Polyarthritis und Arthrose;32
männlich;60 bis unter 65 Jahre;Krankheiten des Urogenitalsystems;297
männlich;60 bis unter 65 Jahre;Krankheiten der Niere;226
männlich;60 bis unter 65 Jahre;Schwangerschaft, Geburt und Wochenbett;0
männlich;60 bis unter 65 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;6
männlich;60 bis unter 65 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;108
männlich;60 bis unter 65 Jahre;Angeborene Fehlbildungen des Nervensystems;1
männlich;60 bis unter 65 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;13
männlich;60 bis unter 65 Jahre;Symptome und abnorme klinische und Laborbefunde;2406
männlich;60 bis unter 65 Jahre;Plötzlicher Kindstod;0
männlich;60 bis unter 65 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;2353
männlich;60 bis unter 65 Jahre;Äußere Ursachen von Morbidität und Mortalität;1633
männlich;60 bis unter 65 Jahre;Unfälle einschließlich Spätfolgen;916
männlich;60 bis unter 65 Jahre;Transportmittelunfälle;197
männlich;60 bis unter 65 Jahre;Stürze;311
männlich;60 bis unter 65 Jahre;Ertrinken und Untergehen;24
männlich;60 bis unter 65 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;26
männlich;60 bis unter 65 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);49
männlich;60 bis unter 65 Jahre;Vorsätzliche Selbstbeschädigung;600
männlich;60 bis unter 65 Jahre;Tätlicher Angriff;11
männlich;60 bis unter 65 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;102
männlich;65 bis unter 70 Jahre;Insgesamt;41530
männlich;65 bis unter 70 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;589
männlich;65 bis unter 70 Jahre;Tuberkulose einschließlich ihrer Folgezustände;15
männlich;65 bis unter 70 Jahre;Meningokokkeninfektion;1
männlich;65 bis unter 70 Jahre;Virushepatitis;27
männlich;65 bis unter 70 Jahre;HIV-Krankheit;17
männlich;65 bis unter 70 Jahre;Neubildungen;15882
männlich;65 bis unter 70 Jahre;Bösartige Neubildungen (BN);15570
männlich;65 bis unter 70 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;653
männlich;65 bis unter 70 Jahre;BN des Ösophagus;743
männlich;65 bis unter 70 Jahre;BN des Magens;644
männlich;65 bis unter 70 Jahre;BN des Dickdarms;822
männlich;65 bis unter 70 Jahre;BN des Rektums, des Anus und am Rektosigmoid;642
männlich;65 bis unter 70 Jahre;BN der Leber, der Gallenwege und des Pankreas;2282
männlich;65 bis unter 70 Jahre;BN der Leber und der intrahepatischen Gallengänge;838
männlich;65 bis unter 70 Jahre;BN des Pankreas;1245
männlich;65 bis unter 70 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;4665
männlich;65 bis unter 70 Jahre;BN der Bronchien und der Lunge;4449
männlich;65 bis unter 70 Jahre;Melanom und sonstige bösartige Neubild. der Haut;239
männlich;65 bis unter 70 Jahre;Bösartiges Melanom der Haut;203
männlich;65 bis unter 70 Jahre;BN der Brustdrüse;20
männlich;65 bis unter 70 Jahre;BN der Genital- und Harnorgane;2134
männlich;65 bis unter 70 Jahre;BN der Cervix uteri;0
männlich;65 bis unter 70 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;65 bis unter 70 Jahre;BN des Ovars;0
männlich;65 bis unter 70 Jahre;BN der Prostata;1118
männlich;65 bis unter 70 Jahre;BN der Niere, ausgenommen Nierenbecken;337
männlich;65 bis unter 70 Jahre;BN der Harnblase;321
männlich;65 bis unter 70 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;1075
männlich;65 bis unter 70 Jahre;Leukämie;424
männlich;65 bis unter 70 Jahre;Gutartige Neubildungen;26
männlich;65 bis unter 70 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;127
männlich;65 bis unter 70 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;1279
männlich;65 bis unter 70 Jahre;Diabetes mellitus;943
männlich;65 bis unter 70 Jahre;Psychische und Verhaltensstörungen;904
männlich;65 bis unter 70 Jahre;Psychische und Verhaltensstörungen durch Alkohol;551
männlich;65 bis unter 70 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;20
männlich;65 bis unter 70 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;1170
männlich;65 bis unter 70 Jahre;Meningitis;3
männlich;65 bis unter 70 Jahre;Krankheiten des Kreislaufsystems;10791
männlich;65 bis unter 70 Jahre;Hypertonie (Hochdruckkrankheit);681
männlich;65 bis unter 70 Jahre;Ischämische Herzkrankheiten;5385
männlich;65 bis unter 70 Jahre;Akuter oder rezidivierender Myokardinfarkt;2839
männlich;65 bis unter 70 Jahre;Sonstige Formen der Herzkrankheit;1625
männlich;65 bis unter 70 Jahre;Sonstige Krankheiten des Endokards;347
männlich;65 bis unter 70 Jahre;Zerebrovaskuläre Krankheiten;1596
männlich;65 bis unter 70 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;233
männlich;65 bis unter 70 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;598
männlich;65 bis unter 70 Jahre;Krankheiten des Atmungssystems;3191
männlich;65 bis unter 70 Jahre;Grippe;77
männlich;65 bis unter 70 Jahre;Pneumonie;495
männlich;65 bis unter 70 Jahre;Chronische Krankheiten der unteren Atemwege;2125
männlich;65 bis unter 70 Jahre;Asthma;31
männlich;65 bis unter 70 Jahre;Krankheiten des Verdauungssystems;2556
männlich;65 bis unter 70 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;127
männlich;65 bis unter 70 Jahre;Krankheiten der Leber;1575
männlich;65 bis unter 70 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;1497
männlich;65 bis unter 70 Jahre;Krankheiten der Haut und der Unterhaut;48
männlich;65 bis unter 70 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;178
männlich;65 bis unter 70 Jahre;Chronische Polyarthritis und Arthrose;31
männlich;65 bis unter 70 Jahre;Krankheiten des Urogenitalsystems;531
männlich;65 bis unter 70 Jahre;Krankheiten der Niere;370
männlich;65 bis unter 70 Jahre;Schwangerschaft, Geburt und Wochenbett;0
männlich;65 bis unter 70 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;8
männlich;65 bis unter 70 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;72
männlich;65 bis unter 70 Jahre;Angeborene Fehlbildungen des Nervensystems;4
männlich;65 bis unter 70 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;11
männlich;65 bis unter 70 Jahre;Symptome und abnorme klinische und Laborbefunde;2611
männlich;65 bis unter 70 Jahre;Plötzlicher Kindstod;0
männlich;65 bis unter 70 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;2533
männlich;65 bis unter 70 Jahre;Äußere Ursachen von Morbidität und Mortalität;1593
männlich;65 bis unter 70 Jahre;Unfälle einschließlich Spätfolgen;1019
männlich;65 bis unter 70 Jahre;Transportmittelunfälle;178
männlich;65 bis unter 70 Jahre;Stürze;461
männlich;65 bis unter 70 Jahre;Ertrinken und Untergehen;14
männlich;65 bis unter 70 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;25
männlich;65 bis unter 70 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);28
männlich;65 bis unter 70 Jahre;Vorsätzliche Selbstbeschädigung;490
männlich;65 bis unter 70 Jahre;Tätlicher Angriff;9
männlich;65 bis unter 70 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;72
männlich;70 bis unter 75 Jahre;Insgesamt;44770
männlich;70 bis unter 75 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;764
männlich;70 bis unter 75 Jahre;Tuberkulose einschließlich ihrer Folgezustände;13
männlich;70 bis unter 75 Jahre;Meningokokkeninfektion;0
männlich;70 bis unter 75 Jahre;Virushepatitis;46
männlich;70 bis unter 75 Jahre;HIV-Krankheit;16
männlich;70 bis unter 75 Jahre;Neubildungen;16692
männlich;70 bis unter 75 Jahre;Bösartige Neubildungen (BN);16300
männlich;70 bis unter 75 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;528
männlich;70 bis unter 75 Jahre;BN des Ösophagus;675
männlich;70 bis unter 75 Jahre;BN des Magens;609
männlich;70 bis unter 75 Jahre;BN des Dickdarms;970
männlich;70 bis unter 75 Jahre;BN des Rektums, des Anus und am Rektosigmoid;642
männlich;70 bis unter 75 Jahre;BN der Leber, der Gallenwege und des Pankreas;2443
männlich;70 bis unter 75 Jahre;BN der Leber und der intrahepatischen Gallengänge;857
männlich;70 bis unter 75 Jahre;BN des Pankreas;1348
männlich;70 bis unter 75 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;4501
männlich;70 bis unter 75 Jahre;BN der Bronchien und der Lunge;4338
männlich;70 bis unter 75 Jahre;Melanom und sonstige bösartige Neubild. der Haut;229
männlich;70 bis unter 75 Jahre;Bösartiges Melanom der Haut;177
männlich;70 bis unter 75 Jahre;BN der Brustdrüse;33
männlich;70 bis unter 75 Jahre;BN der Genital- und Harnorgane;2732
männlich;70 bis unter 75 Jahre;BN der Cervix uteri;0
männlich;70 bis unter 75 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;70 bis unter 75 Jahre;BN des Ovars;0
männlich;70 bis unter 75 Jahre;BN der Prostata;1563
männlich;70 bis unter 75 Jahre;BN der Niere, ausgenommen Nierenbecken;386
männlich;70 bis unter 75 Jahre;BN der Harnblase;362
männlich;70 bis unter 75 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;1253
männlich;70 bis unter 75 Jahre;Leukämie;531
männlich;70 bis unter 75 Jahre;Gutartige Neubildungen;32
männlich;70 bis unter 75 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;120
